N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
79,한국타이어앤테크놀로지,"32,900","1,400",-4.08%,500,"40,755","123,875",41.20,"337,720",6.17,5.12,
80,유한양행,"55,300","2,000",-3.49%,"1,000","40,497","73,231",17.14,"236,590",41.93,11.06,
81,한국금융지주,"70,700","2,200",-3.02%,"5,000","39,398","55,726",34.44,"378,313",2.42,16.27,
82,쌍용C&E,"7,600",150,-1.94%,100,"38,293","503,860",3.32,"902,448",18.58,7.92,
83,오리온,"92,700","4,500",-4.63%,500,"36,650","39,536",37.12,"183,793",15.41,15.50,
84,두산밥캣,"36,500","1,350",-3.57%,500,"36,591","100,249",25.19,"211,296",9.99,6.15,
85,현대중공업지주,"46,100","1,300",-2.74%,"1,000","36,416","78,993",16.63,"382,440",-10.69,-8.12,
86,삼성증권,"39,600",850,-2.10%,"5,000","35,363","89,300",29.58,"389,336",3.73,9.89,
87,이마트,"126,500","7,000",-5.24%,"5,000","35,263","27,876",33.52,"188,485",2.55,4.05,
88,삼성카드,"30,050",400,-1.31%,"5,000","34,816","115,859",7.01,"140,080",7.41,5.69,
89,한진칼,"52,100","1,900",-3.52%,"2,500","34,771","66,739",14.63,"103,720",-59.34,-19.55,
90,GS,"37,200",950,-2.49%,"5,000","34,565","92,915",18.70,"214,777",3.38,-2.82,
91,현대차2우B,"93,800","2,000",-2.09%,"5,000","34,223","36,485",62.47,"63,719",4.75,N/A,
92,현대오토에버,"124,500","1,000",+0.81%,500,"34,143","27,424",2.14,"177,741",45.19,11.09,
93,NH투자증권,"11,250",200,-1.75%,"5,000","33,416","297,034",17.59,"644,643",4.13,10.32,
94,아모레G,"39,600",850,-2.10%,500,"32,653","82,458",15.88,"122,025",22.23,0.31,
95,한국항공우주,"33,450","1,100",-3.18%,"5,000","32,605","97,475",13.58,"933,945",227.55,6.39,
96,TIGER 차이나전기차SOLACTIVE,"15,835",435,-2.67%,0,"32,170","203,160",0.25,"2,779,527",N/A,N/A,
97,DB하이텍,"72,400","2,300",-3.08%,"5,000","32,145","44,399",26.21,"870,852",15.12,23.07,
98,GS건설,"37,150","1,500",-3.88%,"5,000","31,794","85,581",26.17,"763,806",9.05,7.68,
99,KCC,"356,500","1,000",+0.28%,"5,000","31,680","8,886",11.49,"93,996",4.50,12.79,
100,한국가스공사,"33,750","1,300",-3.71%,"5,000","31,156","92,313",10.15,"328,930",7.01,-2.24,
101,한미약품,"234,000","10,000",-4.10%,"2,500","28,824","12,318",13.07,"43,096",37.27,1.65,
102,한미사이언스,"41,850","2,500",-5.64%,500,"28,719","68,624",2.32,"118,160",53.04,3.47,
103,한전기술,"71,700","1,200",-1.65%,200,"27,404","38,220",2.13,"392,733",269.55,N/A,
104,GS리테일,"26,150",900,-3.33%,"1,000","27,384","104,718",8.16,"309,253",2.64,7.50,
105,호텔신라,"69,500","1,700",-2.39%,"5,000","27,277","39,248",12.64,"529,271",-26.68,-36.74,
106,롯데지주,"26,000","1,050",-3.88%,200,"27,276","104,909",7.73,"185,751",13.55,-3.03,
107,BGF리테일,"157,000","1,000",-0.63%,"1,000","27,136","17,284",32.27,"31,809",19.64,18.60,
